account	justificar
account for 	explicar
account for	dar cuenta de
act as	servir de
act as	hacer de
act for	representar a
act on	reaccionar a
act on	actuar sobre
act on	responder a
act out	representar
act out	interpretar
act out	comportar se mal
act out	portar se mal
act up	portar se mal
act up	enrabietar se
act upon	actuar por
act upon	actuar sobre
add up to	sumar
add up to	llevar a
add up to	conducir a
add up	sumar
add up	tener sentido
adhere to	acatar
adhere to	obedecer
adhere to	cumplir con
advise against	aconsejar no
advise against	desaconsejar
advise of	informar
agree with	coincidir con
agree with	estar de acuerdo con
aim at	dirigir se a
allow for	tener en cuenta
allow for	permitir
allude to	aludir a
answer back	replicar
answer back	responder
answer back	contestar
answer back	defender se
answer back	insolentar se
answer for	responder por
answer for	ser adecuado para
answer for	ser usado como
appeal for	pedir
appeal for	reclamar
appeal for	recurrir a
appeal for	solicitar
apply to	presentar se
apply to	postular se
arrive at	llegar a acuerdo
arrive at	llegar a conclusión
ask about	preguntar por
ask about	preguntar sobre
ask after	preguntar por
ask around	preguntar por ahí
ask around	tantear a
ask around	tantear
ask back	volver a invitar
ask for	pedir
ask for	solicitar
ask for	preguntar por
ask in	invitar a entrar a
ask in	invitar a pasar a
ask out	invitar a salir a
ask out	mandar salir a
ask up	invitar a subir a
associate with	juntar se con
associate with	ir con
associate with	andar con
associate with	tratar con
attach to	colocar en
attach to	atar a
attach to	amarrar a
attach to	abrochar a
attach to	conectar a
attach to	sujetar a
attach to	encariñar se con
attach to	conceder a
attend to	prestar atención a
attend to	ocupar se de
attend to	atender a
auction off	subastar
auction off	rematar
average out at	tener de media de
back away	retroceder
back away	retirarse
back away	alejarse
back down	recular
back down	retroceder
back out	retractar se 
back out	volver se atrás
back out	echar se atrás
back out	arrepentir se de
back out	desvincular se de
back out	retirar se de
back out of	retractar se de
back out of	volver se atrás en
back out of	echar se atrás en
back out of	arrepentir se de
back out of	desvincular se de
back out of	retirar se de
back up	respaldar a
back up	respaldar
back up	apoyar a
back up	apoyar
back up	realizar una copia de seguridad
back up	confirmar
back up	corroborar
back up	dar marcha atrás
back up	echar marcha atrás
back up	retroceder
bail out	retirar se
bail out	rajar se
bail out	rescatar
bail out	pagar la fianza
bail out	sacar de un apuro a
bail out	sacar de un apuro
bail out	achicar
bail out of	abandonar
bail out of	dejar
bail out of	acabar con
bail out of	largar se de
bank on	contar con
base on	basar se en
be about	estar por
be about	estar más o menos a
be about	estar aproximadamente a
be about	estar presente
be about	estar cerca
be away	estar fuera
be back	regresar
be back	volver
be off	ir se
bear on	pesar sobre
bear out	confirmar
bear out	corroborar
bear out	apoyar
beat up	aporrear a
beat up	aporrear 
beat up	apalear a
beat up	golpear a
beat up	golpear
beat up	pegar a
become of	pasar con
become of	ser de
beef up	fortalecer
bend down	agachar se
bend over	inclinar se
bend over	agachar se
bend over	doblar
bet on	apostar
bite off	morder
black out	oscurecer
black out	desmayar se
blow away	liquidar a
blow away	liquidar
blow away	meter se en el bolsillo a
blow away	volar
blow away	llevar se
blow away	deslumbrar a
blow away	matar a
blow away	matar
blow down	derrumbar
blow down	derribar
blow down	tumbar
blow down	voltear a
blow down	voltear
blow down	dejar sin palabras a
blow down	dejar sin palabras 
blow down	dejar de una pieza a
blow down	dejar de una pieza 
blow down	dejar helado
blow down	sorprender a
blow down	sorprender
blow off	volar de
blow off	volar
blow off	tirar se un pedo
blow off	rechazar
blow off	faltar a
blow off	escaquear se de
